GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
154647,1925,0.0,0.0,.
154648,1923,0.0,0.0,.
154649,1915,0.0,0.0,.
154649,1916,0.0,0.0,.
154649,1920,0.0,0.0,.
154650,1924,0.0,0.0,.
154651,1952,0.0,0.0,.
154651,1953,0.0,0.0,.
154652,1906,0.0,0.0,.
154652,1907,0.0,0.0,.
154652,1908,0.0,0.0,.
154652,1980,0.0,0.0,.
154653,1985,0.0,0.0,.
154654,1974,0.0,0.0,.
154654,1975,0.0,0.0,.
154655,1982,0.0,0.0,.
154656,1940,0.0,0.0,.
154657,1982,0.0,0.0,.
154658,1984,0.0,0.0,.
154659,1957,0.0,0.0,.
154659,1958,0.0,0.0,.
154660,1955,0.0,0.0,.
154661,1986,0.0,0.0,.
154662,1985,0.0,0.0,.
154663,1984,0.0,0.0,.
154664,1984,0.0,0.0,.
154665,1989,0.0,0.0,.
154666,1927,0.0,0.0,.
154667,1958,0.0,0.0,.
154668,1911,0.0,0.0,.
154668,1915,0.0,0.0,.
154669,1918,0.0,0.0,.
154670,1938,0.0,0.0,.
154670,1949,0.0,0.0,.
154670,1954,0.0,0.0,.
154671,1930,0.0,0.0,.
154672,1925,0.0,0.0,.
154673,2013,0.0,0.0,.
154674,1915,0.0,0.0,.
154674,1916,0.0,0.0,.
154675,1915,0.0,0.0,.
154675,1916,0.0,0.0,.
154675,1917,0.0,0.0,.
154676,1979,0.0,0.0,.
154677,1959,0.0,0.0,.
154677,1960,0.0,0.0,.
154677,1977,0.0,0.0,.
154678,1952,0.0,0.0,.
154678,1953,0.0,0.0,.
154679,1966,0.0,0.0,.
154680,1993,0.0,0.0,.
154680,1994,0.0,0.0,.
154681,1973,0.0,0.0,.
154681,2008,0.0,0.0,.
154682,1968,0.0,0.0,.
154682,1971,0.0,0.0,.
154683,1968,0.0,0.0,.
154683,1971,0.0,0.0,.
154684,1996,0.0,0.0,.
154684,2008,0.0,0.0,.
154685,1994,0.0,0.0,.
154686,1974,0.0,0.0,.
154687,1969,0.0,0.0,.
154687,1970,0.0,0.0,.
154688,2013,0.0,0.0,.
154689,1957,0.0,0.0,.
154689,1958,0.0,0.0,.
154689,1972,0.0,0.0,.
154690,1957,0.0,0.0,.
154690,1958,0.0,0.0,.
154690,1972,0.0,0.0,.
154691,1957,0.0,0.0,.
154691,1958,0.0,0.0,.
154691,1972,0.0,0.0,.
154692,1960,0.0,0.0,.
154692,1962,0.0,0.0,.
154693,1976,0.0,0.0,.
154693,1982,0.0,0.0,.
154694,1994,0.0,0.0,.
154695,1967,0.0,0.0,.
154696,1961,0.0,0.0,.
154697,1953,0.0,0.0,.
154698,1953,0.0,0.0,.
154699,1957,0.0,0.0,.
154700,1924,0.0,0.0,.
154701,1952,0.0,0.0,.
154702,1958,0.0,0.0,.
154703,1955,0.0,0.0,.
154704,1912,0.0,0.0,.
154705,1928,0.0,0.0,.
154706,1932,0.0,0.0,.
154707,1944,0.0,0.0,.
154708,1951,0.0,0.0,.
