STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
5011_1,354064,499.88
5011_1,354068,473.79
5011_1,354072,479.62
5011_1,354076,436.48
5011_1,354080,461.23
5011_1,354084,472.18
5011_1,354088,486.48
5011_1,354092,468.69
5011_1,354096,486.08
5011_1,354100,388.64
5011_1,354104,428.4
5011_1,354108,452.58
5011_1,354112,495.97
5011_1,354116,460.63
5011_1,354120,477.82
5011_1,354124,386.13
5011_1,354128,423.1
5011_1,354132,436.23
5011_1,354136,506.63
5011_1,354140,481.78
5011_1,354144,477.57
5011_1,354148,432.34
5011_1,354152,447.66
5011_1,354156,473.45
5011_1,354160,493.74
5011_1,354164,480.62
5011_1,354168,476.61
5011_1,354172,462.04
5011_1,354176,472.2
5011_1,354180,480.22
5011_1,354184,482.54
5011_1,354188,478.58
5011_1,354192,486.29
5011_1,354196,471.21
5011_1,354200,477.98
5011_1,354204,484.43
5011_1,354208,489.05
5011_1,354212,477.11
5011_1,354216,478.02
5011_1,354220,448
5011_1,354224,464.06
5011_1,354228,474.56
5011_1,354232,472.47
5011_1,354236,465.95
5011_1,354240,489.24
5011_1,354244,401.45
5011_1,354248,436.74
5011_1,354252,448.85
5011_1,354256,479.01
5011_1,354260,459.7
5011_1,354264,496.71
5011_1,354268,309.38
5011_1,354272,351.08
5011_1,354276,366.18
5011_1,354280,541.07
5011_1,354284,478.68
5011_1,354288,485.76
5011_1,354292,166.18
5011_1,354296,190.05
5011_1,354300,214.03
5011_1,354304,488.94
5011_1,354308,332.45
5011_1,354312,272.7
5011_1,354316,165.63
5011_1,354320,180.45
5011_1,354324,205.62
5011_1,354328,578.66
5011_1,354332,447.93
5011_1,354336,456.89
5011_1,354340,204.09
5011_1,354344,232.03
5011_1,354348,255.49
5011_1,354352,568.27
5011_1,354356,437.14
5011_1,354360,486.96
5011_1,354364,227.58
5011_1,354368,270.63
5011_1,354372,282.56
5011_1,354376,550.15
5011_1,354380,467.38
5011_1,354384,480.63
5011_1,354388,40.889
5011_1,354392,44.579
5011_1,354396,52.658
5011_1,354400,314.35
5011_1,354404,276.67
5011_1,354408,253.07
5011_1,354412,40.015
5011_1,354416,42.676
5011_1,354420,51.36
5011_1,354424,437.47
5011_1,354428,357.75
5011_1,354432,72.866
5011_1,354436,45.307
5011_1,354440,48.01
5011_1,354444,54.237
5011_1,354448,473.22
5011_1,354452,381.58
5011_1,354456,385.14
5011_1,354460,200.27
5011_1,354464,221.51
5011_1,354468,244.34
5011_1,354472,592.61
5011_1,354476,383.5
5011_1,354480,432.24
5011_1,354484,280.43
5011_1,354488,308.88
5011_1,354492,329
5011_1,354496,537.23
5011_1,354500,483.19
5011_1,354504,488.55
5011_1,354508,364.34
5011_1,354512,394.36
5011_1,354516,431.08
5011_1,354520,517.36
5011_1,354524,479.44
5011_1,354528,492.71
5011_1,354532,326.49
5011_1,354536,369.38
5011_1,354540,399.56
5011_1,354544,508.37
5011_1,354548,457.37
5011_1,354552,495.25
5011_1,354556,238.84
5011_1,354560,272.37
5011_1,354564,292.97
5011_1,354568,598.39
5011_1,354572,434.66
5011_1,354576,378.54
5011_1,354580,204.51
5011_1,354584,238.96
5011_1,354588,291.56
5011_1,354592,546.26
5011_1,354596,452.23
5011_1,354600,463.97
5011_1,354604,318.58
5011_1,354608,355.15
5011_1,354612,390.13
5011_1,354616,539.14
5011_1,354620,487.77
5011_1,354624,471.81
5011_1,354628,396.66
5011_1,354632,445.68
5011_1,354636,449.9
5011_1,354640,494.83
5011_1,354644,478.72
5011_1,354648,501.54
5011_1,354652,412.24
5011_1,354656,433.87
5011_1,354660,444.32
5011_1,354664,503.49
5011_1,354668,471.64
5011_1,354672,496.27
5011_1,354676,341.6
5011_1,354680,378.08
5011_1,354684,405.83
5011_1,354688,538.65
5011_1,354692,464.89
5011_1,354696,497.12
5011_1,354700,179.69
5011_1,354704,201.42
5011_1,354708,220.98
5011_1,354712,596.94
5011_1,354716,431.86
5011_1,354720,468.07
5011_1,354724,172.9
5011_1,354728,201.69
5011_1,354732,227.33
5011_1,354736,563.55
5011_1,354740,487.18
5011_1,354744,511.23
5011_1,354748,152.28
5011_1,354752,173.37
5011_1,354756,192.42
5011_1,354760,493.55
5011_1,354764,309.96
5011_1,354768,364.28
5011_1,354772,55.528
5011_1,354776,60.834
5011_1,354780,72.068
5011_1,354784,353.5
5011_1,354788,287.44
5011_1,354792,294.31
5011_1,354796,0
5011_1,354800,0
5011_1,354804,0
5011_1,354808,280.86
5011_1,354812,217.38
5011_1,354816,189.54
5011_1,354820,0
5011_1,354824,0
5011_1,354828,0
5011_1,354832,376.45
5011_1,354836,284.75
5011_1,354840,65.447
5011_1,354844,0
5011_1,354848,0
5011_1,354852,0
5011_1,354856,154.43
5011_1,354860,153.21
5011_1,354864,118.27
5011_1,354868,0
5011_1,354872,0
5011_1,354876,0
5011_1,354880,262.82
5011_1,354884,250.96
5011_1,354888,0
5011_1,354892,0
5011_1,354896,0
5011_1,354900,0
5011_1,354904,243.7
5011_1,354908,192.67
5011_1,354912,191.35
5011_1,354916,0
5011_1,354920,0
5011_1,354924,0
5011_1,354928,285.17
5011_1,354932,179.14
5011_1,354936,76.235
5011_1,354940,0
5011_1,354944,0
5011_1,354948,0
5011_1,354952,343.24
5011_1,354956,255.27
5011_1,354960,197.23
5011_1,354964,0
5011_1,354968,0
5011_1,354972,0
5011_1,354976,279.59
5011_1,354980,223.16
5011_1,354984,253.24
5011_1,354988,0
5011_1,354992,0
5011_1,354996,0
5011_1,355000,367.61
5011_1,355004,344.62
5011_1,355008,0
5011_1,355012,0
5011_1,355016,0
5011_1,355020,0
5011_1,355024,336.72
5011_1,355028,282.6
5011_1,355032,206.01
5011_1,355036,0
5011_1,355040,0
5011_1,355044,0
5011_1,355048,300.98
5011_1,355052,245.68
5011_1,355056,176.16
5011_1,355060,0
5011_1,355064,0
5011_1,355068,0
5011_1,355072,334.96
5011_1,355076,302.03
5011_1,355080,0
5011_1,355084,0
5011_1,355088,0
5011_1,355092,0
5011_1,355096,311.53
5011_1,355100,354.92
5011_1,355104,21.641
5011_1,355108,0
5011_1,355112,0
5011_1,355116,0
5011_1,355120,313.38
5011_1,355124,214.85
5011_1,355128,202.45
5011_1,355132,0
5011_1,355136,0
5011_1,355140,0
5011_1,355144,293.65
